"C-mod name","Biomolecular Type","Condensates","Phenotypic Class","PMID"
"Paclitaxel","small molecule","DEE660B4","inducer","34857678"
"Pactamycin","small molecule","DEE660B4","dissolver","38105199"
"Palbociclib","small molecule","DEE660B4","unknown","35433677"
"PARP14i","small molecule","DEE660B4","dissolver","39760726"
"Pateamine A","natural product","DEE660B4","inducer","29258238"
"PCG","natural product","38EC0B30","inducer","35072011"
"PD184352","small molecule","232F8A39","dissolver","37370689"
"Penfluridol","small molecule","DEE660B4","dissolver","31272829"
"Penicillamine Au nanospheres","other","DEE660B4","inducer","39862843"
"perillaldehyde","natural product","DEE660B4","inducer","39951026"
"Phillygenin","natural product","DEE660B4","inducer","35421804"
"PI-103","small molecule","1A18FFC4","dissolver","36099417"
"Piceatannol","small molecule","DEE660B4","inducer","34432484"
"PIK-75","small molecule","1A18FFC4","dissolver","36099417"
"PIM447","small molecule","232F8A39","inducer","33586867"
"PJ34","small molecule","DEE660B4","localizer","29070863"
"PKI-402","small molecule","DEE660B4","inducer","38238825"
"PLB","small molecule","DEE660B4","dissolver","38366783"
"Polydeoxyribonucleotide","oligonucleotide","DEE660B4","dissolver","40343916"
"Polyhalogenated carbazoles","small molecule","B4E97D43","inducer","41064882"
"PP242","small molecule","1A18FFC4","dissolver","36099417"
"PR-619","small molecule","DEE660B4","inducer","33687997"
"PROTAC (Proteolysis Targeting Chimera) degrader 129","small molecule","DEE660B4","dissolver","39710983"
"Pterostilbene","small molecule","DEE660B4","inducer","34432484"
"Pyridoxal hydrochloride","small molecule","DEE660B4","dissolver","40216204"
"Pyrvinium","small molecule","232F8A39| DEE660B4","dissolver| inducer","40247038| 31272829"
"Pyrvinium pamoate","small molecule","804901D1","morpher","38659924"
"Quercetin","natural product","DEE660B4","dissolver","40031974"
"Raloxifene","small molecule","DEE660B4","inducer","33203845"
"Raltitrexed","small molecule","6F24707C","dissolver|morpher","35151311"
"Rapamycin","natural product","718A9EC3| DEE660B4","dissolver| unknown","39536963| 35433677"
"RBN012579","small molecule","DEE660B4","dissolver","37873085"
"Resveratrol","small molecule","DEE660B4| D12E4DB9","inducer| dissolver","34432484| 41037255"
"RK-33","small molecule","DEE660B4","unknown","40863725"
"RK33","small molecule","DEE660B4","dissolver","33049245"
"(R)-lipoic acid","small molecule","DEE660B4","dissolver","37322067"
"Salicylic acid","small molecule","9A8A194B","dissolver","40913711"
"SB2","small molecule","DEE660B4","dissolver","40306108"
"Selinexor","small molecule","91857CE7| 1A18FFC4","localizer| dissolver","30205049| 41115290"
"Sennoside A","natural product","38D1B6BE","dissolver","40371698"
"Sennoside B","natural product","38D1B6BE","dissolver","40371698"
"Sevoflurane","small molecule","DEE660B4","inducer","39610020"
"SI-2","small molecule","FA66C19F","dissolver","33589584"
"Silvestrol","natural product","DEE660B4","inducer","29258238"
"SIP-U1-Antp","peptide","DEE660B4","dissolver","38731625"
"SO286","small molecule","6ECDA717","dissolver","41087580"
"Sodium azide","small molecule","550E224B","inducer","35975718"
"Sorafenib","small molecule","DEE660B4","inducer","40064891| 37216166"
"Spautin-1","small molecule","DEE660B4","localizer","36606141"
"Sulforaphane","natural product","38EC0B30","inducer","30338040"
"T-2 toxin","small molecule","DEE660B4","dissolver","38105199"
"TAK-243","small molecule","DEE660B4","inducer","33687997"
"Talazoparib","small molecule","A0DCDA94","inducer","36849518| 29992957"
"Tamoxifen","small molecule","38EC0B30","dissolver","32554597"
"TAT-SIP-C1","peptide","DEE660B4","dissolver","38731625"
"TAT-SIP-C2","peptide","DEE660B4","dissolver","38731625"
"TC12","small molecule","DEE660B4","inducer","38262290"
"TC39","small molecule","DEE660B4","inducer","38262290"
"TC6","small molecule","DEE660B4","inducer","38262290"
"TD-interfering peptide","peptide","200B29C3","dissolver","40875402"
"Temsirolimus","small molecule","DEE660B4","unknown","35433677"
"Thapsigargin","natural product","DEE660B4","inducer","40064891"
"Titanium dioxide nanoparticles","natural product","DEE660B4","dissolver","39709656"
"Topotecan","small molecule","91857CE7","localizer","11709553"
"Torin 1","small molecule","1A18FFC4","dissolver","36099417"
"Torin-1","small molecule","232F8A39","dissolver","36634147"
"Trabectedin","small molecule","91857CE7","localizer","27697767"
"Trametinib","small molecule","232F8A39","dissolver","37370689"
"Trichostatin A","small molecule","DEE660B4","dissolver","34345843"
"Triptolide","natural product","DEE660B4","dissolver","38366783| 34244458"
"Tubastatin","small molecule","DEE660B4","dissolver","34345843"
"Tubercidin","small molecule","804901D1","inducer","40121465"
"UNC6934","small molecule","91857CE7","localizer","34782742"
"Veliparib","small molecule","A0DCDA94","inducer","36849518| 29992957"
"VER‐155008","small molecule","DEE660B4","inducer","33738926"
"Verdinexor","small molecule","BEB5E62D","dissolver","37937963"
"Vinblastine","small molecule","DEE660B4","dissolver","31272829"
"Vincristine","small molecule","DEE660B4","inducer","40064891"
"Vitamin C","small molecule","6F24707C","inducer","38583183"
"Vitamin K3","small molecule","6A1B29D1","localizer","37660155"
"Wee1/Chk1 inhibitor","small molecule","DEE660B4","morpher","23415227"
"WIN","small molecule","DEE660B4","dissolver","40306108"
"WIN-62577","small molecule","DEE660B4","localizer","39708056"
"Withaferin A","small molecule","BEB5E62D","dissolver","37937963"
"WNK-643","small molecule","BEB5E62D","inducer","37937963"
"Wortmannin","small molecule","DEE660B4","dissolver","30923191"
"XL-3156","small molecule","1A0B17A6","dissolver|morpher","40461475"
"XL-3158","small molecule","1A0B17A6","dissolver|morpher","40461475"
"XS561","small molecule","927B5294","inducer","38486987"
"ZXH-3-26","small molecule","634C353E","dissolver","37156794"
"ZZW-115","small molecule","DEE660B4","dissolver","38360999"
